"x"
44240
65101
86314
4101
96805
6033
85367
53090
28390
30016
10022
70002
18704
11432
24141
4758
55038
32708
44130
80439
33712
45220
15221
97524
32311
44406
97404
19055
53115
93614
33952
55416
20874
64055
29707
48137
85756
33010
95383
77082
33619
32920
53935
19320
75208
89012
78109
80439
60640
48329
32084
85635
60640
7076
98103
3054
47150
78711
23462
13027
1060
75001
10924
53186
52565
17601
30350
28546
89011
7078
92346
15668
19702
77005
35810
48317
60629
98121
26003
48857
80521
11236
16301
78418
45410
73120
19943
55412
30096
78245
27616
89102
33710
15904
34653
85281
13069
27572
89501
28557
94510
15201
7601
73110
85234
85021
8527
49423
20783
75254
31763
63461
32158
98466
27526
80218
91801
25301
75069
95817
32765
77450
64130
39206
89015
2703
94930
38401
80501
76901
37042
97478
32901
94606
78501
44483
14450
29927
76706
24556
1603
23608
45701
66044
43062
91101
90706
17560
46402
85381
14020
48060
93405
28376
30909
21213
33406
2532
27705
18435
50320
18612
7821
14617
90275
25413
22520
11010
94110
24141
80401
62864
2347
86403
12508
77480
77002
63049
32514
48340
45177
80233
37841
27560
60404
48306
52240
23325
60451
40475
32308
15228
75024
20749
53719
91016
73112
28374
17601
8009
27539
43907
11211
87506
6001
60636
92708
12203
18411
40391
29601
77042
45213
54166
85032
90710
69101
11716
4456
46131
2101
88030
20854
72704
94558
93012
91360
21078
85308
6457
33950
97501
49428
24554
NA
99201
17402
30041
31626
37303
63043
17015
78749
88001
92832
48236
96789
48827
94107
95864
95242
35031
98101
22835
35210
91367
24574
32211
54301
11436
40324
17055
78247
33065
27514
62025
93030
33603
92377
99556
52302
42021
66614
53095
74023
49706
55901
32901
80201
28625
83401
61554
37660
28712
64110
32940
6498
14226
7470
8005
40422
15601
97131
46614
13206
93551
35622
43220
32789
11226
73064
45761
24523
28214
11501
33907
22041
60640
49769
21218
10311
76086
33601
44144
2908
85234
71112
7003
4103
31210
8542
2139
30506
98661
92692
14051
11718
40046
20910
95062
60056
54911
10467
33470
26508
89434
97301
11236
38340
49348
38732
10009
50112
80909
57105
91744
29577
13088
15212
97206
19146
60185
92065
98043
33830
28425
80305
30360
44234
79252
97202
71923
35206
79313
11365
52001
2879
33884
44052
92129
7036
46614
78154
48708
32824
98037
6320
49307
20874
74133
33025
96797
6460
79830
95835
19473
32216
21237
30058
36265
90247
93240
59935
92708
